Чек-лист и результаты выполнения тестов: тестирование вёрстки,,,,,
,,,,,
№,Описание проверки,"""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",Ссылка на баг-репорт,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",Ссылка на баг-репорт
ЛОГОТИП ,,,,,
1,Логотип Яндекс находится вверху слева страницы.,PASSED,,PASSED,
2,"Логотип ""Яндекс Маршруты"" не имеет орфографических ошибок.",PASSED,,PASSED,
3,"Логотип ""Яндекс Маршруты"" соответствует макету.",FAILED,BUG-527155,FAILED,BUG-527142
4,"Логотип ""Яндекс Маршруты"" соответствует макету по дизайну.",PASSED,,PASSED,
5,"При наведении на логотип ""Яндекс Маршруты"" меняется вид курсора.",PASSED,,PASSED,
6,"Логотип""Учебный тренажен"" соответствует макету.",FAILED,BUG-527189,FAILED,BUG-527193
ПОЛЕ ВВОДА АДРЕСА,,,,,
1,"Надписи ""Откуда"", ""Куда"" располагается в соответствии с макетом.",PASSED,,PASSED,
2,"Надписи ""Откуда"", ""Куда"" соответствует макету по дизайну.",FAILED,BUG-591713,FAILED,BUG-595958
3,"Надписи ""Откуда"", ""Куда"" не имеет орфографических ошибок.",PASSED,,PASSED,
4,"Поле ввода ""Откуда"" располагается в соответствии с макетом.",FAILED,BUG-596135,FAILED,BUG-596143
5,"Поле ввода ""Откуда"" соответствует макету по дизайну.",PASSED,,PASSED,
6,"Поле ввода ""Куда"" располагается в соответствии с макетом.",FAILED,BUG-596161,FAILED,BUG-596153
7,"Поле ввода ""Куда"" соответствует макету по дизайну.",PASSED,,PASSED,
8,"При заходе на страницу, поля ввода ""Откуда"", ""Куда"" не заполнены.",PASSED,,PASSED,
9,"При наведении на поле ввода ""Откуда"", ""Куда"" меняется вид курсора.",PASSED,,PASSED,
10,"Всплывающая подсказка: ""Введите адрес"" соответствует макету",PASSED,,PASSED,
11,"При вводе невалидного значения в поле ""Откуда"" и перемещении фокуса отображается всплывающая подсказка: ""Введите адрес"".",PASSED,,PASSED,
12,"При вводе невалидного значения в поле ""Куда"" и перемещении фокуса отображается всплывающая подсказка: ""Введите адрес"".",PASSED,,PASSED,
13,"Всплывающая подсказка ""Введите адрес"" поля ""Откуда"" не имеет орфографических ошибок.",PASSED,,PASSED,
14,"Всплывающая подсказка ""Введите адрес"" поля ""Откуда"" соответствует макету по дизайну.",PASSED,,PASSED,
15,"Всплывающая подсказка ""Введите адрес"" поля ""Откуда"" располагается в соответствии с макетом.",PASSED,,PASSED,
16,"Всплывающая подсказка ""Введите адрес"" поля ""Куда"" не имеет орфографических ошибок.",PASSED,,PASSED,
17,"Всплывающая подсказка ""Введите адрес"" поля ""Куда"" соответствует макету по дизайну.",PASSED,,PASSED,
18,"Всплывающая подсказка ""Введите адрес "" поля ""Куда"" располагается в соответствии с макетом.",PASSED,,PASSED,
19,"Пробелы в начале и конце адреса в поле ввода ""Откуда"" удаляются при снятии фокуса.",FAILED,BUG-596223,FAILED,BUG-596228
20,"Пробелы в начале и конце адреса в поле ввода  ""Куда"" удаляются при снятии фокуса.",FAILED,BUG-596246,FAILED,BUG-596240
21,"Слева от поля ввода ""Откуда"" отображается красный круг.",PASSED,,PASSED,
22,Красный круг располагается в соответствии с макетом и соответствует макету по дизайну.,PASSED,,PASSED,
23,"Слева от поля ввода ""Куда"" отображается синий круг.",PASSED,,PASSED,
24,Синий круг располагается в соответствии с макетом и соответствует макету по дизайну.,PASSED,,PASSED,
РЕЖИМЫ МАРШРУТА,,,,,
1,Переключатель режима маршрутов соответствует размерам в  макете.,FAILED,BUG-596537,FAILED,BUG-596566
2,Переключатель режима маршрутов соответствует макету по дизайну.,PASSED,,PASSED,
3,В переключателе режима маршрутов кнопки не имеют орфографических ошибок.,PASSED,,PASSED,
5,Кнопки переключателя режима маршрутов доступны для нажатия.,PASSED,,PASSED,
6,"При наведении на кнопки переключения маршрута, меняется вид курсора.",PASSED,,PASSED,
7,"При нажатии на кнопку режима маршрута ""Свой"", кнопки выбора видов транспорта становятся активными.",PASSED,,PASSED,
8,"При нажатии на кнопку режима маршрута ""Оптимальный"", кнопки выбора видов транспорта неактивные.",PASSED,,PASSED,
9,"При нажатии на кнопку режима маршрута ""Быстрый"", кнопки выбора видов транспорта неактивные.",PASSED,,PASSED,
10,"При нажании на кнопки, меняется внешний вид кнопок.",PASSED,,PASSED,
11,"Кнопка ""Оптимальный"" соответствует макету по дизайну.
",PASSED,,PASSED,
12,"Кнопка ""Быстрый"" соответствует макету по дизайну.",PASSED,,PASSED,
13,"Кнопка ""Свой"" соответствует макету по дизайну.",PASSED,,PASSED,
ВИД ТРАНСПОРТА,,,,,
1,Иконки вида транспорта распологаются в соответствии с макетом.,PASSED,,PASSED,
2,Иконки вида транспорта соответствует макету по дизайну.,PASSED,,PASSED,
3,"При входе на страницу, иконки вида транспорта не активны.",PASSED,,PASSED,
5,"При выбранном режиме маршрута ""Свой"" панель вид транспорта активна, иконки транспорта доступны для нажатия.",PASSED,,PASSED,
6,"При нажатии на иконку транспорта ""собственный автомобиль"" меняется внешний вид иконки.",PASSED,,PASSED,
7,"При нажатии на иконку транспорта ""пешком"" меняется внешний вид иконки.",PASSED,,PASSED,
8,"При нажатии на иконку транспорта ""такси"" меняется внешний вид иконки.",PASSED,,PASSED,
9,"При нажатии на иконку транспорта ""велосипед"" меняется внешний вид иконки.",PASSED,,PASSED,
10,"При нажатии на иконку транспорта ""самокат"" меняется внешний вид иконки.",PASSED,,PASSED,
11,"При нажатии на иконку транспорта ""каршеринг"" меняется внешний вид иконки.",PASSED,,PASSED,
12,"Кнопка транспорта ""собственный автомобиль"" соответствует дизайну по макету.",PASSED,,PASSED,
13,"Кнопка транспорта ""пешком"" соответствует дизайну по макету.",PASSED,,PASSED,
14,"Кнопка транспорта ""такси"" соответствует дизайну по макету.",PASSED,,PASSED,
15,"Кнопка транспорта ""велосипед"" соответствует дизайну по макету.",PASSED,,PASSED,
16,"Кнопка транспорта ""самокат"" соответствует дизайну по макету.",PASSED,,PASSED,
17,"Нажатая кнопка транспорта ""каршеринг"" соответствует дизайну по макету.",FAILED,BUG-598766,FAILED,BUG-598774
18,"В режиме ""Оптимальный"" и ""Быстрый"", при веденных валидных значениях адреса, отображается нажатой кнопка вида транспорта, которую выбрала система.",PASSED,,PASSED,
19,"Иконка транспорта ""собственный автомобиль"" соответствует надписи в макете.",PASSED,,PASSED,
20,"Иконка транспорта ""пешком"" соответствует надписи в макете.",PASSED,,PASSED,
21,"Иконка транспорта ""такси"" соответствует надписи в макете.",PASSED,,PASSED,
22,"Иконка транспорта ""велосипед"" соответствует надписи в макете.",PASSED,,PASSED,
23,"Иконка транспорта ""самокат"" соответствует надписи в макете.",PASSED,,PASSED,
24,"Иконка транспорта ""каршеринг"" соответствует надписи в макете.",FAILED,BUG-598817,FAILED,BUG-598809
25,"Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые",PASSED,,PASSED,
26,"Для выбора доступно три тарифа: Повседневный, Походный, Роскошный",PASSED,,PASSED,
"ФОРМА БРОНИРОВАНИЯ ТАРИФА ""РОСКОШНЫЙ""",,,,,
1,"При нажатии на кнопку забронировать,выбирается тариф ""Повседневный""",PASSED,,PASSED,
2,"Выбирам тариф ""Роскошный"" путем кликания по иконке данного тарифа",PASSED,,PASSED,
3,Размер иконки тарифа находится в соответствии с макетом.,FAILED,BUG-600670,FAILED,BUG-600682
4,Иконка вида тарифа соответствует макету по дизайну.,FAILED,BUG-600704,FAILED,BUG-601486
5,"При наведении на иконку тарифа, меняется вид курсора.",PASSED,,PASSED,
6,"Полоса прокрутки (scrollbar) двигается с помощью кнопок: Page up и Page down, Home и End.",PASSED,,FAILED,
7,Полоса прокрутки (scrollbar) двигается с помощью прокрутки колеса мышки.,PASSED,,PASSED,
8,"При клике по чекбоксу ""Светомузыка"", становится выбран/не выбран.",PASSED,,PASSED,
9,"При клике по радиокнопке в пунке ""Развлечься"", выбирается один пункт.",FAILED,BUG-601549,FAILED,BUG-601558
10,"При клике по счётчику в пункте ""Очки для крутоты"", можно выбрать от 0 до 3 включительно.",PASSED,,PASSED,
11,"Кнопка ""Забронировать"", соответствует макету.",PASSED,,PASSED,
12,"Кнопка ""Забронировать"", соответствует макету по дизайну.",PASSED,,PASSED,
13,"При нажатии на кнопку ""Забронировать"", появляется окно с бронью автомобиля и включается таймер бесплатного времени ожидания.",PASSED,,PASSED,
14,"Окно с информацией о бронировании авто,соответствует требованиям.",FAILED,BUG-608193,FAILED,BUG-608181
15,"Окно с информацией о бронировании авто,соответствует макету по дизайну.",PASSED,,PASSED,
