Группа проверок,Название класса,Тип класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Сценарии,Пояснение и оптимизации
Время начала поездки. Часы,Целые числа от 00 до 23,Диапозон,0;23,14,"01; 22 - шаг во внутрь                                                                                                                                                                                                                                                                                                                                        0; 23 - граничные значения
-1; 24 - шаг за границу
",позитивный,
,Отрицательные числа от -∞ до -01,Диапозон,-∞ ; -01,-12,"-22;-02 - шаг во внутрь                                                                                                                                                                                                                                                                                                                                                -∞ ; -01 - граничные значения                                                                                                                                                                                                                                                                                                                 
-24;00 - шаг за границу",негативный,
,Дробные числа,Диапозон,0.1;22.9,0.5,"0.2; 22.8 - шаг во внутрь
0.1; 22.9 - граничные значения
0;23 - шаг за границу",негативный,
,Целые числа >=24,Диапозон,24;+∞,150,"25;+∞ - шаг во внутрь
24;+∞ - граничные значения
23;+∞ - шаг за границу",негативный,
,Спецсимволы,Набор,,!@#$%^&*(_)`~,,негативный,
,Буквы,Набор,,сто,,негативный,
,Пустое поле(нет символов),Набор,,чистое поле( без значений),,позитивный,
,Поле заполнено,Набор,,14,,позитивный,
,2 символа,Диапозон,,2,"1 символ - шаг во внутрь
2 символа - граничные значения
3 символа - шаг за границу",позитивный,
,< 2 симолов,Диапозон,,1,"0 символов - шаг во внутрь
1 символ - граничные значения
2 символа - шаг за границу",негативный,
,> 2 символов,Диапозон,,3,"2 символа - шаг во внутрь
3 символа - граничные значения
4 символа - шаг за границу",негативный,
,,,,,,,
Время начала поездки. Минуты,Целые числа от 00 до 59,Диапозон,00;59,51,"01, 58 - шаг во внутрь
00, 59 - граничные значения
60 - шаг за границу",позитивный,
,Отрицательные числа от т -∞ до -01,Диапозон,-∞ ; -01,-2," -∞ ; -02 - шаг во внутрь
-∞ ; -01 - граничные значения
-∞ ; 00 - шаг за границу",негативный,
,Дробные числа,Диапозон,0.1;58.9,14.5,"0.2, 59.8 - шаг во внутрь
0.1, 59.9 - граничные значения
0, 60 - шаг за границу",негативный,
,Целые числа >=60,Диапозон,60;+∞,69,"61;+∞ - шаг во внутрь
60;+∞ - граничные значения
59;+∞ - шаг за границу",негативный,
,Спецсимволы,Набор,,!@#$%^&*(_)`~,,негативный,
,Буквы,Набор,,сто,,негативный,
,Пустое поле(нет символов),Набор,,чистое поле( без значений),,позитивный,
,Поле заполнено,Набор,,14,,позитивный,
,2 символа,Диапозон,,2,"1 символ - шаг во внутрь
2 символа - граничные значения
3 символа - шаг за границу",позитивный,
,< 2 симолов,Диапозон,,1,"0 символов - шаг во внутрь
1 символ - граничные значения
2 символа - шаг за границу",негативный,
,> 2 символов,Диапозон,,3,"2 символа - шаг во внутрь
3 символа - граничные значения
4 символа - шаг за границу",негативный,
,,,,,,,
Откуда,Длинна строки от 0 до 50 символов,Диапозон,0;50,"28 символов: ""УсачеваУсачеваУсачеваУсачева""","0 символов: Поле пустое
50 символов: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ""
1 символ: ""У""
49 символов: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёва""
-1символ: Поле пустое
51 символ: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУс""",позитивный,
,Длинна строки от 0 до 1 символов,Диапозон,0;1,"1 символ: ""У""","0 символов: пустое поле
1 символ: ""У""
2 символа: ""Ус""",негативный,Для оптимизации стоит убрать 0;1символ и 2 символа
,Длинна строки >=51 символу,Диапозон,51;+∞,"56 символов: ""УсачеваУсачеваУсачеваУсачеваУсачеваУсачеваУсачеваУсачева""","51 символ: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУс»
50 символов: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ»
52 символа: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ»",негативный,Для оптимизации стоит убрать 50 и 51символ
,Строка состоящая из русских букв,Набор,,"""Усачева""",,позитивный,
,Строка состоящая из английских букв,Набор,,"""Usacheva""",,негативный,
,Строка содержащая цифру(ы),Набор,,"""3Усачева""",,позитивный,
,Срока содержащая симол(ы),Набор,,"""Усачева!""",,позитивный,
,Строка содержащая пробел,Набор,,"""бульвар Усачева""",,позитивный,
,Поле заполнено,Набор,,"""Усачева""",,позитивный,
,Поле пустое,Набор,,поле пустое,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Куда,Длинна строки от 2 до 50 символов,Диапозон,0;50,"28 символов: ""УсачеваУсачеваУсачеваУсачева""","0 символов: Поле пустое
50 символов: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ""
1 символ: ""У""
49 символов: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёва""
-1символ: Поле пустое
51 символ: ""УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУс""",позитивный,
,Длинна строки от 0 до 1 символов,Диапозон,0;1,"1 символ: ""У""","0 символов: пустое поле
1 символ: ""У""
2 символа: ""Ус""",негативный,Для оптимизации стоит убрать 0;1символ и 2 символа
,Длинна строки >=51 символу,Диапозон,51;+∞,"56 символов: ""УсачеваУсачеваУсачеваУсачеваУсачеваУсачеваУсачеваУсачева""","51 символ: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУс»
50 символов: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ»
52 символа: «УсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУсачёваУ»",негативный,Для оптимизации стоит убрать 50 и 51символ
,Строка состоящая из русских букв,Набор,,"""Усачева""",,позитивный,
,Строка состоящая из английских букв,Набор,,"""Usacheva""",,негативный,
,Строка содержащая цифру(ы),Набор,,"""3Усачева""",,позитивный,
,Срока содержащая симол(ы),Набор,,"""Усачева!""",,позитивный,
,Строка содержащая пробел,Набор,,"""бульвар Усачева""",,позитивный,
,Поле заполнено,Набор,,"""Усачева""",,позитивный,
,Поле пустое,Набор,,поле пустое,,позитивный,
