Формулы,,,,,,
Расчёт стоимости поездки,,,,Впиши сюда формулу,,
T=(S/Vср)*60,,,,С = Ст * S,,
"T - время, S - расстояние, Vср - средняя скорость,60 -перевод часа в минуты",,,,"(C - стоимость, Ст - стоимость за 1 км пути, S - расстояние)",,
,Название класса,Границы,Тип класса,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
Расстояние между адресами,Расстояни между разными адресами,,набор,"Усачева, 3                                         Зубовский бульвар, 37",,S=1.5
,Расстояни между одинаковыми адресами,,набор,"Усачева, 3                                          Усачева, 3     ",,S=0
,Расстояни между разными адресами в прямом и обратном направлении,,набор,"Усачева, 3                                         Зубовский бульвар, 37",,S1=1.5
,,,,"Зубовский бульвар, 37                                       Усачева,3",,S2=1.4                                                                                                          Sобщ=2.9
Время начала движения,Время с 00:01 по 08:00,"00:01, 08:00",Диапозон,03:00,"00:00, 08:01 - шаг за границу
00:01, 08:00 - граничные значения
00:02, 07:59 - шаг во внутрь",Vср=45км/ч
,Время с 08:01 по 12:00,"08:01, 12:00",Диапозон,10:00,"08:00, 12:01 - шаг за границу
08:01, 12:00 - граничные значения
08:02, 11:59 - шаг во внутрь ",Vср=30км/ч
,Время с 12:01 по 18:00,"12:01, 18:00",Диапозон,15:00,"12:00, 18:01 - шаг за границу
12:01, 18:00 - граничные значения
12:02, 17:59 - шаг во внутрь",Vср=40км/ч
,Время с 18:01 по 22:00,"18:01, 22:00",Диапозон,19:00,"18:00, 22:01 - шаг за границу
18:01, 22:00 - граничные значения
18:02, 21:59 - шаг во внутрь",Vср=25км/ч
,Время с 22:01 по 00:00,"22:01, 00:00",Диапозон,23:00,"22:00, 00:01 - шаг за границу
22:01, 00:00 - граничные значения
22:02, 23:59 - шаг во внутрь",Vср=45км/ч
