Тест-кейсы и тестирование: логика функциональности бронирования,,,,,,,,,,,
,,,,,,,,,,,
 id тест-кейса,Название тест-кейса,Предусловия,Номер шага,Описание шага,ОР,Окружение,Статус,Ссылка на баг-репорт,Окружение,Статус,Ссылка на баг-репорт
t-1,"Проверка логики бронирования при заполнении полей Откуда и Куда
","1. Перейти на тестовый стенд
2. Ввести в поле Откуда ""Зубовский бульвар,37""
3. Ввести в поле Куда ""Фрунзенская набережная,46""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать""                                  
",1,Добавить права,"В центре экрана появится окно с заголовком «Машина забронирована». Внутри — марка, номер, иконка и адрес машины, точная стоимость поездки и таймер, который отсчитывает время бесплатного ожидания.","""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",PASSED,,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",PASSED,
,,,2,Добавить банковскую карту,,,,,,,
,,,3,Нажать на кнопку бронирования,,,,,,,
t-2,"Проверка логики бронирования при пустых полях Откуда и Куда
","1. Перейти на тестовый стенд
2. Ввести в поле Откуда ""Зубовский бульвар,37""
3. Ввести в поле Куда ""Фрунзенская набережная,46""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать""                                  
7. Удалить поля Откуда и Куда",1,Добавить права,"Если поля «Откуда» и «Куда» не заполнены, отображается стоимость за минуту.
Пользователь может выбрать машину на карте и забронировать: он нажимает на иконку, она увеличивается, над ней появляется чёрная плашка с маркой, а на левой панели — обновлённая информация о машине.","""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",FAILED,BUG-580134,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",FAILED,BUG-580150
,,,,,,,,,,,
,,,2,Добавить банковскую карту,,,,,,,
,,,,,,,,,,,
,,,3,Нажать на кнопку бронирования,,,,,,,
t-3,Проверка выбора машины на карте,"1. Перейти на тестовый стенд
2. Ввести в поле Откуда ""Зубовский бульвар,37""
3. Ввести в поле Куда ""Фрунзенская набережная,46""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать"" 7. Добавить данные прав                                  
8. Добавить данные банковской карты",1,Очистить адреса Откуда и Куда,"Если поля «Откуда» и «Куда» не заполнены, отображается стоимость за минуту.
Пользователь может выбрать машину на карте и забронировать: он нажимает на иконку, она увеличивается, над ней появляется чёрная плашка с маркой, а на левой панели — обновлённая информация о машине.","""Окружение 1
(Windows 7 х64, Яндекс.Браузер Версия
22.3.3.855  800x600)""
",FAILED,BUG-585580,"""Окружение 2
(Windows 7 х64, FireFox Версия
99.0.1 (32 бита) 1920x1080)""
",FAILED,BUG-585635
,,,,,,,,,,,
,,,2,Выбрать машину для каршеринга на карте,,,,,,,
,,,,,,,,,,,
,,,3,,,,,,,,
t-4,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
t-5,,,,,,,,,,,
